Viewer URL,Margot URL
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/vienna-osterreichische-nationalbibliothek-codex-2592-1350/vienna-osterreichische-nationalbibliothek-codex-2592-fol-87v
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/vienna-osterreichische-nationalbibliothek-codex-2592-1350/vienna-osterreichische-nationalbibliothek-codex-2592-fol
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/vienna-osterreichische-nationalbibliothek-codex-2592-1350/vienna-osterreichische-nationalbibliothek-codex-2592-fol-0
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/vienna-osterreichische-nationalbibliothek-codex-2592-1350/vienna-osterreichische-nationalbibliothek-codex-2592-fol-1
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/fitzwilliam-museum-ms-169-1301-140/fitzwilliam-museum-ms-169-fol-48v-1301-1400
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/fitzwilliam-museum-ms-169-1301-140/fitzwilliam-museum-ms-169-fol-105v-1301-1400
https://rosetest.library.jhu.edu/dlmm/#rose/YatesThompson21/108r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/london-british-library-ms-yates-thompson-21-c-1380/london-british-library-ms-yates-thompson-21-fol-108r-c-1380
https://rosetest.library.jhu.edu/dlmm/#rose/YatesThompson21/127r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/london-british-library-ms-yates-thompson-21-c-1380/london-british-library-ms-yates-thompson-21-127r-c-1380
https://rosetest.library.jhu.edu/dlmm/#rose/SeldenSupra57/064r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/oxford-bodleian-library-ms-selden-supra-57-1348/oxford-bodleian-library-ms-selden-supra-57-64r-1348
https://rosetest.library.jhu.edu/dlmm/#rose/SeldenSupra57/089r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/oxford-bodleian-library-ms-selden-supra-57-1348/oxford-bodleian-library-ms-selden-supra-57-fol-89r-1348
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/florence-biblioteca-nazionale-centrale-firenze-codice/florence-biblioteca-nazionale-centrale-firenze-codice
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/florence-biblioteca-nazionale-centrale-firenze-codice/florence-biblioteca-nazionale-centrale-firenze-codice-0
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/florence-biblioteca-nazionale-centrale-firenze-codice/florence-biblioteca-nazionale-centrale-firenze-codice-1
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/florence-biblioteca-nazionale-centrale-firenze-codice/florence-biblioteca-nazionale-centrale-firenze-codice-2
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/florence-biblioteca-nazionale-centrale-firenze-codice/florence-biblioteca-nazionale-centrale-firenze-codice-3
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/florence-biblioteca-nazionale-centrale-firenze-codice/florence-biblioteca-nazionale-centrale-firenze-codice-4
https://rosetest.library.jhu.edu/dlmm/#rose/LudwigXV7/054r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/j-paul-getty-museum-ms-ludwig-xv-7-1405/j-paul-getty-museum-ms-ludwig-xv-7-fol-54r-1405
https://rosetest.library.jhu.edu/dlmm/#rose/LudwigXV7/059r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/j-paul-getty-museum-ms-ludwig-xv-7-1405/j-paul-getty-museum-ms-ludwig-xv-7-fol-59r-1405
https://rosetest.library.jhu.edu/dlmm/#rose/LudwigXV7/070r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/j-paul-getty-museum-ms-ludwig-xv-7-1405/j-paul-getty-museum-ms-ludwig-xv-7-fol-70r-1405
https://rosetest.library.jhu.edu/dlmm/#rose/LudwigXV7/081v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/j-paul-getty-museum-ms-ludwig-xv-7-1405/j-paul-getty-museum-ms-ludwig-xv-7-fol-81v-1405
https://rosetest.library.jhu.edu/dlmm/#rose/LudwigXV7/091v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/j-paul-getty-museum-ms-ludwig-xv-7-1405/j-paul-getty-museum-ms-ludwig-xv-7-fol-91v-1405
https://rosetest.library.jhu.edu/dlmm/#rose/LudwigXV7/103r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/j-paul-getty-museum-ms-ludwig-xv-7-1405/j-paul-getty-museum-ms-ludwig-xv-7-fol-103r-1405
https://rosetest.library.jhu.edu/dlmm/#rose/LudwigXV7/121r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/j-paul-getty-museum-ms-ludwig-xv-7-1405/j-paul-getty-museum-ms-ludwig-xv-7-fol-121r-1405
https://rosetest.library.jhu.edu/dlmm/#rose/Walters143/062v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/baltimore-md-walters-art-museum-w-143-1325-1350/baltimore-md-walters-art-museum-w-143-fol-62v-1325-1350
https://rosetest.library.jhu.edu/dlmm/#rose/Walters143/128r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/baltimore-md-walters-art-museum-w-143-1325-1350/baltimore-md-walters-art-museum-w-143-fol-128r-1325-1350
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-66r-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-78r-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-91v-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-95r-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-102v-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-102vb-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-103v-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-121v-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-138r-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-132-ca-1380/pierpont-morgan-library-ms-132-fol-138v-ca-1380
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-324-mid-xivth-century/pierpont-morgan-library-ms-324-fol-30r-mid-xivth-century
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-324-mid-xivth-century/pierpont-morgan-library-ms-324-fol-63v-mid-xivth-century
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-324-mid-xivth-century/pierpont-morgan-library-ms-324-fol-128v-mid-xivth-century
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/pierpont-morgan-library-ms-324-mid-xivth-century/pierpont-morgan-library-ms-324-fol-129r-mid-xivth-century
